Region,Crop_Type,modal_price
Andaman and Nicobar,Amaranthus,6000
Andaman and Nicobar,Bitter gourd,15000
Andaman and Nicobar,Bottle gourd,6000
Andaman and Nicobar,Brinjal,12000
Andaman and Nicobar,Cabbage,10000
Andaman and Nicobar,Carrot,12000
Andaman and Nicobar,Cauliflower,15000
Andaman and Nicobar,Cowpea(Veg),8000
Andaman and Nicobar,Cucumbar(Kheera),8000
Andaman and Nicobar,Drumstick,15000
Andaman and Nicobar,Ginger(Green),25000
Andaman and Nicobar,Little gourd (Kundru),12000
Andaman and Nicobar,Raddish,6000
Andaman and Nicobar,Snakeguard,8000
Andaman and Nicobar,Tomato,10000
Andhra Pradesh,Tomato,2000
Andhra Pradesh,Tomato,2200
Andhra Pradesh,Bhindi(Ladies Finger),1500
Andhra Pradesh,Bitter gourd,2000
Andhra Pradesh,Bottle gourd,500
Andhra Pradesh,Brinjal,2000
Andhra Pradesh,Cabbage,1000
Andhra Pradesh,Carrot,750
Andhra Pradesh,Cauliflower,1000
Andhra Pradesh,Cluster beans,1500
Andhra Pradesh,Cucumbar(Kheera),500
Andhra Pradesh,Green Chilli,1500
Andhra Pradesh,Raddish,1000
Andhra Pradesh,Ridgeguard(Tori),1250
Andhra Pradesh,Tomato,1200
Andhra Pradesh,Tomato,2200
Andhra Pradesh,Turmeric,5721
Andhra Pradesh,Turmeric,5721
Andhra Pradesh,Dry Chillies,11000
Andhra Pradesh,Dry Chillies,11000
Andhra Pradesh,Dry Chillies,12000
Andhra Pradesh,Dry Chillies,10000
Andhra Pradesh,Dry Chillies,4500
Andhra Pradesh,Groundnut,5367
Andhra Pradesh,Maize,1700
Andhra Pradesh,Paddy(Dhan)(Common),1750
Andhra Pradesh,Bengal Gram(Gram)(Whole),4800
Andhra Pradesh,Jowar(Sorghum),2500
Andhra Pradesh,Paddy(Dhan)(Common),2000
Andhra Pradesh,Arhar (Tur/Red Gram)(Whole),5189
Andhra Pradesh,Bengal Gram(Gram)(Whole),4150
Andhra Pradesh,Castor Seed,4491
Andhra Pradesh,Groundnut,5609
Andhra Pradesh,Onion,1350
Andhra Pradesh,Bengal Gram(Gram)(Whole),4620
Andhra Pradesh,Maize,1700
Andhra Pradesh,Paddy(Dhan)(Common),1750
Andhra Pradesh,Bengal Gram(Gram)(Whole),4700
Andhra Pradesh,Paddy(Dhan)(Common),1800
Andhra Pradesh,Onion,2300
Andhra Pradesh,Tomato,3800
Andhra Pradesh,Gur(Jaggery),3315
Andhra Pradesh,Gur(Jaggery),2925
Andhra Pradesh,Paddy(Dhan)(Common),1700
Andhra Pradesh,Paddy(Dhan)(Common),1750
Andhra Pradesh,Lemon,2600
Andhra Pradesh,Paddy(Dhan)(Common),1815
Assam,Rice,2400
Assam,Rice,2800
Assam,Green Gram (Moong)(Whole),6500
Assam,Maida Atta,2560
Assam,Rice,4500
Assam,Rice,2500
Assam,Wheat Atta,2400
Assam,Rice,2400
Assam,Rice,2800
Assam,Garlic,8500
Assam,Onion,2000
Assam,Potato,1080
Assam,Rice,3400
Assam,Wheat Atta,2800
Assam,Bitter gourd,3500
Assam,Brinjal,4000
Assam,Cabbage,1900
Assam,Cucumbar(Kheera),2300
Assam,Garlic,8500
Assam,Green Chilli,9500
Assam,Onion,2400
Assam,Pointed gourd (Parval),3000
Assam,Potato,1500
Assam,Pumpkin,1400
Assam,Ridgeguard(Tori),2300
Assam,Tomato,4000
Assam,Arecanut(Betelnut/Supari),5000
Assam,Lentil (Masur)(Whole),5800
Assam,Maida Atta,2700
Assam,Rice,2450
Assam,Wheat Atta,2700
Assam,Jute,3000
Assam,Rice,2800
Assam,Arhar (Tur/Red Gram)(Whole),7400
Assam,Green Gram (Moong)(Whole),8400
Assam,Green Peas,6300
Assam,Lentil (Masur)(Whole),6700
Assam,Peas(Dry),5900
Assam,Rice,2600
Assam,Rice,3570
Assam,Rice,5500
Assam,Arhar Dal(Tur Dal),7600
Assam,Bengal Gram(Gram)(Whole),6050
Assam,Green Gram Dal (Moong Dal),7950
Assam,Gur(Jaggery),3800
Assam,Lentil (Masur)(Whole),5350
Assam,Maida Atta,2550
Assam,Rice,2550
Assam,Rice,3300
Assam,Rice,5150
Assam,Wheat Atta,2450
Chandigarh,Bottle gourd,1800
Chandigarh,Cauliflower,2000
Chandigarh,Cucumbar(Kheera),1850
Chandigarh,Ginger(Green),9000
Chandigarh,Green Chilli,1500
Chandigarh,Lemon,3500
Chandigarh,Mango,4000
Chandigarh,Mousambi(Sweet Lime),4000
Chandigarh,Onion,1100
Chandigarh,Peas Wet,3500
Chandigarh,Pomegranate,4500
Chandigarh,Potato,850
Chandigarh,Tomato,3000
Chattisgarh,Paddy(Dhan)(Common),1300
Chattisgarh,Maize,1710
Chattisgarh,Myrobolan(Harad),20
Chattisgarh,Wheat,1840
Chattisgarh,Paddy(Dhan)(Common),1300
Chattisgarh,Paddy(Dhan)(Common),1550
Chattisgarh,Paddy(Dhan)(Common),1500
